teacher_legacy_id,teacher_id,teacher_name,teacher_department,rating_legacy_id,date,class,comment,quality,difficulty,attendance_mandatory,would_take_again,grade,is_online,textbook_use,thumbs_up,thumbs_down
2049285,VGVhY2hlci0yMDQ5Mjg1,Margaret Ellis,Computer Science,39242389,2024-04-23 21:10:35 +0000 UTC,CS2114,bruh all she does is yap yap yap and there is nothing helpful. there's so much work ive never ever had so much homework its not even funny.,1,4,mandatory,,A-,False,-1,0,0
2049285,VGVhY2hlci0yMDQ5Mjg1,Margaret Ellis,Computer Science,39229245,2024-04-22 19:07:31 +0000 UTC,CS2114,"I've went to like 7 of her lectures total this entire semester, and 3 of them were for the in-class assessment/tests that are proctored. It took 4 lectures to realize that this professor really isn't that good or fun to be around. Everything you need for this class is posted on canvas. Not a bad class, but a bad professor.",1,5,non mandatory,,A,False,-1,1,0
2049285,VGVhY2hlci0yMDQ5Mjg1,Margaret Ellis,Computer Science,38988676,2024-02-20 22:43:45 +0000 UTC,CS2114,"Rude and uncaring. Shared a concern with her and she told me to stop complaining and just do my work. Also followed syllabus for a late policy, and when she didn't count my project I told her I can submit for 10 percent late. She changed the syllabus to 10 points and gave me a zero on the project. No feedback nor any compassion or understanding Bad",1,3,mandatory,,B-,False,-1,1,0
2049285,VGVhY2hlci0yMDQ5Mjg1,Margaret Ellis,Computer Science,38878923,2024-01-14 05:44:23 +0000 UTC,CS2114,she is worst possible professor I have ever seen. Too harsh and never cared about anything and judge pretty first. Its like being in the army camp in her class. And does not show any respect to any TA or students. Department should take strong steps and investigate against her.,1,4,mandatory,,A+,False,-1,1,0
2049285,VGVhY2hlci0yMDQ5Mjg1,Margaret Ellis,Computer Science,38816628,2024-01-01 19:04:12 +0000 UTC,CS2114,"Honestly not a very difficult class if you've taken ap csa, attendance not mandatory and just complete the labs on time and you'll be good",3,2,non mandatory,1,A,False,-1,0,0
2049285,VGVhY2hlci0yMDQ5Mjg1,Margaret Ellis,Computer Science,38719323,2023-12-17 22:14:26 +0000 UTC,CS2114,"Margaret Ellis is very kind, and she cares about her students, but she doesn't know how to teach. During the lectures, she just answers people's questions from Piazza for 50 minutes. A lot of my projects (despite following all the guidelines perfectly) lost points for not commenting the way she wanted. The coursework itself is very easy.",3,1,non mandatory,1,B+,False,-1,0,0
2049285,VGVhY2hlci0yMDQ5Mjg1,Margaret Ellis,Computer Science,38435085,2023-11-25 01:53:24 +0000 UTC,CS2114,"Ellis was incredibly unprofessional and disrespectful as a professor. She did not seem to care for her students, and was very dismissive of issues. If possible, aim to take a different professor. This one will make your CS journey hell.",1,5,non mandatory,,B+,False,3,3,0
2049285,VGVhY2hlci0yMDQ5Mjg1,Margaret Ellis,Computer Science,38343487,2023-11-05 19:59:03 +0000 UTC,CS2114,"Very rude professor, lots of homework and labs that are a very tiny part of the grade, 0 feedback on some assignments that are graded harshly. Class feels like a high school class calling attendance and taking points off if you don't show up this is college not high school.",1,5,mandatory,,Not sure yet,False,3,3,0
2049285,VGVhY2hlci0yMDQ5Mjg1,Margaret Ellis,Computer Science,38342156,2023-11-04 23:49:32 +0000 UTC,CS2114,"awful and not caring for any of her students. Doesn't even matter if WW3 happens, you need to go to lab or you lose all your points. Not compassionate with students problems and does not really help when you have the need. Does not communicate well requirements either or listen to questions. If you take her u might as well just look up YouTube vids",1,3,non mandatory,,A-,False,-1,3,0
2049285,VGVhY2hlci0yMDQ5Mjg1,Margaret Ellis,Computer Science,38214491,2023-09-13 06:17:24 +0000 UTC,CS2114,"Cons: Neglects student concerns; disinterested in teaching; Dull, unhelpful lectures; most learning is self-directed via modules; Punishes students for VT system issues(via point deductions); Inefficient time-wasting policies for labs, assignments; Heavy tests; Lots of busy work Pros: Holds office hours; Available outside of class; Knows Java well.",1,3,non mandatory,,Not sure yet,False,3,2,0
2049285,VGVhY2hlci0yMDQ5Mjg1,Margaret Ellis,Computer Science,37972644,2023-05-22 16:29:00 +0000 UTC,CS2114,She really cares about teaching and understands students' difficulties in learning Java and other CS topics (especially people who are new to coding). She is very approachable and truly cares about students' growth in the course topics. She answers our questions both in class and during office hours with passion.,5,2,non mandatory,1,A,False,-1,0,3
2049285,VGVhY2hlci0yMDQ5Mjg1,Margaret Ellis,Computer Science,37759981,2023-04-29 16:27:38 +0000 UTC,CS2114,"Answers questions via a discussion portal so anyone can ask a question at any time of the day. She does her teaching through online modules and if you pay attention the exams are not bad at all and the labs use a lot of the same code as in the modules. Lectures aren't mandatory but if you are struggling on a project, she goes through useful info.",5,2,non mandatory,1,A,False,-1,0,3
2049285,VGVhY2hlci0yMDQ5Mjg1,Margaret Ellis,Computer Science,36719028,2022-10-20 14:07:33 +0000 UTC,CS2114,"While the class was technically in-person, all the lectures were recordings from previous online classes. So really, it was just an async class. Every week, there's a decent amount of video lectures to watch with a section quiz at the end, but you can always speed up or rewatch the videos if you want. Projects aren't difficult, but start early!",3,1,non mandatory,1,A,False,-1,2,0
2049285,VGVhY2hlci0yMDQ5Mjg1,Margaret Ellis,Computer Science,35677882,2021-12-30 19:06:02 +0000 UTC,CS2114,"I do not understand why the midterms and the final test are weighted more than the huge amount of other work that we need to do (labs, projects, quizzes, codworkouts, opendsa, etc.). She simply does not teach, I tried emailing her several times in which I did not even receive a response. The interactions I had with her made me confirm she was rude.",1,3,non mandatory,0,B,False,0,2,0
2049285,VGVhY2hlci0yMDQ5Mjg1,Margaret Ellis,Computer Science,35437902,2021-12-09 16:25:55 +0000 UTC,CS2114,"Doesnt actually lecture, just had video recordings from past years posted (which are mediocre at best). An insane amount of work for a 3 credit hour class. In response to complaints about my groupmates not participating in the project I was told to just do their code for them. Professor was rude and condescending in interactions I had with her.",1,4,non mandatory,0,B-,False,0,2,0
2049285,VGVhY2hlci0yMDQ5Mjg1,Margaret Ellis,Computer Science,35437810,2021-12-09 16:22:06 +0000 UTC,CS2114,Likes to do group projects. Probably to make it easier to grade. Doesn't take into consideration poor group members. States that if group members don't do the work you should do it for them to meet deadlines. Still gives the other members the same grade even though they don't do the work.,1,4,mandatory,0,C+,False,5,2,0
2049285,VGVhY2hlci0yMDQ5Mjg1,Margaret Ellis,Computer Science,35254415,2021-11-17 06:02:48 +0000 UTC,CS2114,"Rude, unnecessary hostile, lazy and boring. She doesnt even teach, you just watch her lectures from past years. I had a situation in which 5 of my 6 professors gave me extensions, and guess who didnt even care? I dont know a single person in my class who likes her and her class. Coding is fun, but surprisingly enough she can make it boring.",1,5,N,0,,False,5,2,0
2049285,VGVhY2hlci0yMDQ5Mjg1,Margaret Ellis,Computer Science,34987110,2021-07-26 13:59:13 +0000 UTC,CS2114,"I felt that prof. Ellis really cared about her students the entire semester. She was always looking for ways to improve/get feedback. 2114 is just a hard class, no matter who you get, and I think you'd be lucky to have her as a prof. rather than anyone else.",4,4,,1,A,False,0,0,2
2049285,VGVhY2hlci0yMDQ5Mjg1,Margaret Ellis,Computer Science,34719575,2021-05-06 04:17:25 +0000 UTC,CS2114,"She is somebody who understands programming and Java inside out. I feel like I will walk away from this class having a full understanding of data structures. The problem is that she isn't the best in terms of explaining things, but she's very knowledgeable and if you just put a little more effort in understanding her, you'll do fine.",4,3,non mandatory,1,A-,True,0,0,1
2049285,VGVhY2hlci0yMDQ5Mjg1,Margaret Ellis,Computer Science,34358647,2021-02-11 20:53:28 +0000 UTC,CS2114,"After taking three years of CS classes in high school, I was greatly disappointed by Virginia Tech. While I have learned a lot in this class, the way Professor Ellis teaches is boring and uninspiring. There's way too much work and poorly written instruction to go through for each lab. This is not the way CS is meant to be taught.",2,3,,0,A,True,0,1,0
2049285,VGVhY2hlci0yMDQ5Mjg1,Margaret Ellis,Computer Science,34297801,2021-01-20 07:30:59 +0000 UTC,CS2114,"The description for projects and labs are extremely awful, sometimes you can't even read what's her meaning of the steps. Can't even read what's the feedback of the project meaning. Huge amount of work with only a 3 credit class.",1,5,non mandatory,0,B,True,5,1,0
2049285,VGVhY2hlci0yMDQ5Mjg1,Margaret Ellis,Computer Science,33742723,2020-10-28 06:51:20 +0000 UTC,CS2114,"Rude teacher, extremely condescending.",1,4,mandatory,0,B-,False,5,1,0
2049285,VGVhY2hlci0yMDQ5Mjg1,Margaret Ellis,Computer Science,32606272,2019-12-11 06:15:30 +0000 UTC,CS2114,"The class as a whole is okay. I definately learned a lot from it, and Prof. Margaret Ellis gives a lot of lectures which are okay, however, she doesn't engage much with her class at all. She isn't at all a helpful professor to reach out too. Every question I've asked her wasn't helpful and you can tell she doesn't care about you or your concerns.",2,4,non mandatory,0,B,False,5,1,0
2049285,VGVhY2hlci0yMDQ5Mjg1,Margaret Ellis,Computer Science,25260452,2015-10-16 15:57:14 +0000 UTC,CS2114,"Understand some Java before taking this class. The whole class is assuming you know Java.  She's not a bad teacher, but she's a coder at heart, which makes her a more difficult teacher to deal with in terms of explaining. Still, Ellis is one of the best in the department. It's manageable.",4,3,mandatory,,A,False,4,2,1
2562075,VGVhY2hlci0yNTYyMDc1,Catherine Twyman,Engineering,41653981,2025-09-20 01:04:10 +0000 UTC,ENGE1215,Very nice and forgiving. All work is done is group projects. Easy grader.,4,2,mandatory,1,A-,False,-1,0,0
2562075,VGVhY2hlci0yNTYyMDc1,Catherine Twyman,Engineering,41473748,2025-07-01 03:34:37 +0000 UTC,ENGE1215,"The only bad thing I can say is that there was a lot of work for this class, but that is just the course itself, not the professor. She was so incredible, I loved being in her class. I would take her class again 1000x over. She is very accommodating and will work with you if you communicate and actually try in her class.",5,2,mandatory,1,A,False,-1,0,0
2562075,VGVhY2hlci0yNTYyMDc1,Catherine Twyman,Engineering,41234972,2025-05-10 04:56:58 +0000 UTC,ENGE1216,This class is so incredibly stupid. Half the stuff we do in class feels like kindergarten work. Sit near the back if you can so you can do other work. This problem comes from the way the department sets up the class though and is not entirely her fault. She is very nice and will help you but the class is a ginormous waste of time.,3,1,mandatory,1,A,False,-1,0,0
2562075,VGVhY2hlci0yNTYyMDc1,Catherine Twyman,Engineering,40334114,2024-12-17 00:46:50 +0000 UTC,ENGE1215,"Marked attendance as mandatory because missing teamwork days without notifying the team and professor leads to a 10% penalty on the assignment that day. Nice professor. Make sure to complete all your work on time. Not super difficult, just that some of the grading is a bit strict, so utilize office hours + class time as needed before submitting",4,2,mandatory,1,Not sure yet,False,-1,0,0
2562075,VGVhY2hlci0yNTYyMDc1,Catherine Twyman,Engineering,40327803,2024-12-16 20:18:34 +0000 UTC,ENGE1215,Twyman was good as an overall teacher but her grading system didnt make sense to me at all she is good in lectures but she is a tough grader the class overall is easy if you keep up with the assignments but I would advise you to choose an other prof instead of Twyman.,2,4,mandatory,,A-,False,-1,0,0
2562075,VGVhY2hlci0yNTYyMDc1,Catherine Twyman,Engineering,40203222,2024-12-10 21:16:10 +0000 UTC,ENGE1215,"This was an extremely easy class, however Twyman as a teacher is terrible. Her policies make zero sense as to the weighting of certain negative incentives and certain requirements to avoid them. If you put in effort you will make it through this class with ease. I advise if you can avoid the hassle of having to deal with Twyman to do so.",1,2,mandatory,,A-,False,-1,0,0
2562075,VGVhY2hlci0yNTYyMDc1,Catherine Twyman,Engineering,40159665,2024-12-08 18:18:39 +0000 UTC,ENGE1215,"Dr. Twyman is pretty relaxed. Attendance was checked but you could leave if the rest of class was individual or group work. Several classes were asynchronous throughout the semester. Class was very project heavy in terms of grades, but TA wasn't super harsh and they didn't take super long.",3,1,mandatory,,A+,False,-1,0,0
2562075,VGVhY2hlci0yNTYyMDc1,Catherine Twyman,Engineering,39490290,2024-05-18 21:09:10 +0000 UTC,ENGE1215,Dr.Twyman does a ton of talking in class and also is super particular with citations and will honor code you.,2,1,mandatory,1,A+,False,-1,0,0
2562075,VGVhY2hlci0yNTYyMDc1,Catherine Twyman,Engineering,39404886,2024-05-08 14:47:06 +0000 UTC,ENGE1216,"Prof Cat is amazing! I very much disliked the class, however, she is the perfect professor. As long as you get your work done, she lets you leave early if you want the majority of the time, but attendance is counted. The GTAs sucked for my class (harsh graders), but Twyman allows you to submit grade reviews if you disagree with a grade.",5,1,mandatory,1,A,False,-1,0,0
2562075,VGVhY2hlci0yNTYyMDc1,Catherine Twyman,Engineering,39329760,2024-05-01 19:16:38 +0000 UTC,ENGE1216,"Workload is slight, content is easy, and she holds your hand through all of it. Just get a good group that's willing to work, do your own work and get assignments turned in, and you're guaranteed an A.",5,1,mandatory,1,A,False,-1,0,0
2562075,VGVhY2hlci0yNTYyMDc1,Catherine Twyman,Engineering,38894392,2024-01-17 21:10:19 +0000 UTC,ENGE1215,"Enge 1215 is a completely useless class, but Prof Twyman made it more tolerable. I liked going to class and it seems like she really cares about the students. There was so much busywork in the class, which took lots of time, but it was a relatively easy A.",4,2,mandatory,1,A,False,-1,0,0
2562075,VGVhY2hlci0yNTYyMDc1,Catherine Twyman,Engineering,38764623,2023-12-21 05:37:05 +0000 UTC,ENGE1215,Can't blame twyman because this class just sucks and isn't fun. Almost all busy work and none of it besides matlab and makerspace felt like learning engineering that was useful to me. (and even those were dragged out into different boring writing) This class is just annoying and you have to get through it,4,2,mandatory,1,A,False,3,0,0
2562075,VGVhY2hlci0yNTYyMDc1,Catherine Twyman,Engineering,38719227,2023-12-17 22:04:54 +0000 UTC,ENGE1215,"Catherine Twyman is a great professor. She is very helpful, nice, and cares about her students. If you just do all the work, you will get an A in 1225.",5,1,non mandatory,1,B+,False,-1,0,0
2562075,VGVhY2hlci0yNTYyMDc1,Catherine Twyman,Engineering,38616819,2023-12-11 22:50:16 +0000 UTC,ENGE1215,"Definitely Prof. Twyman is lecture heavy, so it does get boring, but I will say she makes this class easy to run through the semester. She's nice and lenient so have a word with her about your absences or late work if you have a reason.",4,2,mandatory,1,A,False,-1,0,0
2562075,VGVhY2hlci0yNTYyMDc1,Catherine Twyman,Engineering,38562854,2023-12-07 21:26:45 +0000 UTC,ENGE1215,The only time attendance was mandatory was when a group project was due within a week. But if you couldn't make it you could email her and she would understand. She made learning MATLAB really easy so I would recommend her if you are new to coding. The lectures are boring but all ENGE 1215 classes get the same homework and she grades nicely.,4,2,non mandatory,1,A+,False,-1,0,0
2562075,VGVhY2hlci0yNTYyMDc1,Catherine Twyman,Engineering,38530885,2023-12-06 01:41:24 +0000 UTC,ENGE1215,"Twyman herself was pretty chill - fast email responses, grants extension requests before the due date, easy to get an A as long as you do the work. Half of the assignments were group work so as long as your group gets their work done you should be fine. If not, she's pretty good about making sure everyone is doing their part.",4,2,non mandatory,1,A-,False,-1,0,0
2562075,VGVhY2hlci0yNTYyMDc1,Catherine Twyman,Engineering,38035487,2023-06-10 05:00:41 +0000 UTC,ENGE1215,Prof. Twyman is great! She's amazing with extensions(if you ask she will give you one)and is really good at responding to emails on time.If you have a good group this class is a breeze but if you don't like what I did she likes to step in and whip the group into shape if that doesn't work she will always recognize the work you individually put in.,5,2,mandatory,1,B+,False,-1,0,0
2562075,VGVhY2hlci0yNTYyMDc1,Catherine Twyman,Engineering,38002365,2023-05-29 18:32:36 +0000 UTC,ENGE1215,"I took this class in Fall 2022, and the class was easy because of my group. There were solely engineering students in the Fall, so the majority of the class had that good work ethic. Twyman tries to engage the class and seems like she cares about what the is teaching. Extremely understanding when projects don't go as expected. Just talk to her.",5,2,non mandatory,1,A,False,-1,0,0
2562075,VGVhY2hlci0yNTYyMDc1,Catherine Twyman,Engineering,37763133,2023-04-30 01:28:52 +0000 UTC,ENGE1215,"The class was pretty easy, but it depends on the group you get assigned. If everyone in your group does their work, the class will be a breeze. She reads straight from the board which is kind of boring, but overall a fine class.",4,3,non mandatory,1,A-,False,-1,0,0
2562075,VGVhY2hlci0yNTYyMDc1,Catherine Twyman,Engineering,37345874,2023-01-17 21:18:28 +0000 UTC,ENGE1215,The class is incredibly boring and she tends to drag out lectures but other than that she's fine. She cares about her students and is receptive to their needs but the class sucks.,3,1,non mandatory,,A,False,-1,0,0
2562075,VGVhY2hlci0yNTYyMDc1,Catherine Twyman,Engineering,37339928,2023-01-16 20:29:29 +0000 UTC,ENGE1215,"More writing than my ENGL1105 class. Not difficult, but a lot. As long as your groupmates do not all skip class and do no work, it should be very manageable to get an A if you follow the rubrics. As a professor, she was good but not anything special.",4,2,non mandatory,1,A,False,-1,0,0
2562075,VGVhY2hlci0yNTYyMDc1,Catherine Twyman,Engineering,37298831,2023-01-08 02:49:02 +0000 UTC,ENGE1215,"Although ENGE 1215 can be great or awful depending on your assigned group, Professor Twyman was very supportive the entire semester. She is very easy to approach and gives good feedback on your work. You will have to put in work and attend class, but it's an easy A with at least a half decent group.",5,3,mandatory,1,A,False,-1,0,0
2562075,VGVhY2hlci0yNTYyMDc1,Catherine Twyman,Engineering,37215396,2022-12-21 18:05:07 +0000 UTC,ENGE1215,"Prof. Twyman was just an okay professor. Attendance was mandatory, but there wasn't much content taught in class. Often you would show up just for her to say that it was a work day. Pretty much the only useful part of the class was the MATLAB unit. As far as personality, she was polite and understanding of any issues you may have.",3,1,mandatory,,A,False,-1,0,0
2562075,VGVhY2hlci0yNTYyMDc1,Catherine Twyman,Engineering,37178603,2022-12-18 16:05:46 +0000 UTC,ENGE1215,"Professor Twyman's class is definitely more difficult than the other professors which was my only issue with the class. We got more assignments and lower grades on projects than other 1215 students, however, the class is fine. If you stay on top of the work you'll get an A. I would take the class again no problem, and I learned a lot of matlab",4,4,non mandatory,1,A,False,-1,0,0
2562075,VGVhY2hlci0yNTYyMDc1,Catherine Twyman,Engineering,37131459,2022-12-15 04:19:24 +0000 UTC,ENGE1215,She did her job but thats about it. There's a fun segment at the beginning then just power point slides guiding the class that she puts out before hand. Attendance was not mandatory and I recommend not going because the walk is far and the curriculum is useless just help your group and youll be fine.,3,1,non mandatory,,A+,False,-1,0,0
2562075,VGVhY2hlci0yNTYyMDc1,Catherine Twyman,Engineering,37007130,2022-12-07 16:59:56 +0000 UTC,ENGE1215,"Very chill class with Professor Twyman, the course is essentially just group projects and papers will a little bit of matlab sprinkled in, and in the latter half of the course most of the class time is you and your team's own time to work on your project, so the homework in this class is very manageable.",5,2,mandatory,1,A,False,-1,0,0
2562075,VGVhY2hlci0yNTYyMDc1,Catherine Twyman,Engineering,36507335,2022-07-06 23:18:58 +0000 UTC,ENGE1216,"Professor Twyman was one of the best professors I've ever had! She is very caring towards her students, and as long as you put in the effort you will do well!",5,2,non mandatory,1,A+,False,-1,0,0
2562075,VGVhY2hlci0yNTYyMDc1,Catherine Twyman,Engineering,36318189,2022-05-12 04:26:05 +0000 UTC,ENGE1216,"Professor Twyman really cares about the success of each student in her classes. The group I was assigned for the class didn't do their fair share of work, however, after some emailing, she became aware of the issue and accommodated me for the problem. She is very willing to help students.",4,2,non mandatory,1,A,False,-1,0,0
2562075,VGVhY2hlci0yNTYyMDc1,Catherine Twyman,Engineering,35970898,2022-03-24 14:47:39 +0000 UTC,ENGE1215,"I would recommend professor Twyman. She is really forgiving and gave me a couple extensions. It is a lot of group work, and the lecture can be boring but its an easy A if you do the work.",4,3,Y,1,,False,0,0,0
2562075,VGVhY2hlci0yNTYyMDc1,Catherine Twyman,Engineering,35473853,2021-12-11 19:34:30 +0000 UTC,ENGE1215,"Prof. Twyman was a very nice person, just not a great teacher. There are many group projects, and too many papers as well. It seemed more like busywork than actually learning engineering. Going to class wasn't very helpful most of the time. Just pray for a good team and look at the rubric when doing assignments.",2,2,non mandatory,0,,False,0,0,0
2562075,VGVhY2hlci0yNTYyMDc1,Catherine Twyman,Engineering,35312211,2021-11-29 17:53:04 +0000 UTC,ENGE1215,"She is a very nice lady who does assign a good bit of work. I do not know why people are complaining because the work she assigns does not take that long, it is more busy work to understand fundamentals.",5,2,mandatory,1,A,False,0,0,0
2562075,VGVhY2hlci0yNTYyMDc1,Catherine Twyman,Engineering,35090328,2021-09-27 16:32:40 +0000 UTC,ENGE1225,"Easily the worst professor I had. She lacks confidence in her own ability to teach, and never gives a proper answer to the questions that are asked to her. She brings up her personal life at the beginning of class too much (nobody cares, move on), and she gives us paper, after paper. It's more of an English class at this point.",1,2,mandatory,0,A,False,0,0,0
2562075,VGVhY2hlci0yNTYyMDc1,Catherine Twyman,Engineering,32776398,2019-12-31 00:39:17 +0000 UTC,ENGE1215,"Twyman was an OK professor, but I had her for her first semester teaching. For most assignments, she was unclear on what she wanted so I had to ask for clarification on most things. Her advice was not always helpful to the assignment itself, but her TAs explained things well. She was however a very nice lady and would try her best to aid students",3,2,mandatory,0,A,False,0,0,0
2976458,VGVhY2hlci0yOTc2NDU4,Justin Dubik,Engineering,41653081,2025-09-19 16:04:20 +0000 UTC,ME2134,"Dr. Dubik is a wonderful! Super caring and really strives to make sure students feel welcome in the class and doesn't make you feel stupid for asking question lol. He's incredibly personable and down to earth, really good vibes all around !! He's able to break down concepts really well and made this class one of the ones I understand the most.",5,3,non mandatory,1,Not sure yet,False,3,0,0
2976458,VGVhY2hlci0yOTc2NDU4,Justin Dubik,Engineering,41653080,2025-09-19 16:04:17 +0000 UTC,ME2134,Really good at explaining difficult topics. Also incredibly responsive to students' comments/questions.,5,3,non mandatory,1,Not sure yet,False,3,0,0
2758171,VGVhY2hlci0yNzU4MTcx,Kathleen Carper,Engineering,41643028,2025-09-15 13:46:01 +0000 UTC,ISE3034,so strict and feel bad,1,3,mandatory,,B,False,-1,0,0
2758171,VGVhY2hlci0yNzU4MTcx,Kathleen Carper,Engineering,41478640,2025-07-03 03:19:36 +0000 UTC,ISE3034,"She teaches a communications class, but can't communicate what she expects out of each assignment. Will take off points for random things not on the rubric. She doesn't feel human at all, almost robotic.",2,4,mandatory,,B+,False,3,0,0
2758171,VGVhY2hlci0yNzU4MTcx,Kathleen Carper,Engineering,41459335,2025-06-24 23:35:50 +0000 UTC,ISE3034,"Very patronizing professor. She doesn't seem to care about her female students, especially when they are being excluded in male-dominated spaces. More focused on being addressed formally than engaging with student concerns in a meaningful way.",2,4,mandatory,,B-,False,3,0,0
2758171,VGVhY2hlci0yNzU4MTcx,Kathleen Carper,Engineering,41294217,2025-05-15 17:30:45 +0000 UTC,ISE3034,"For a simple class about grammar and putting together a report, the grading is super harsh. Dr. Carper runs the class very strictly even though the TAs do all of the work.",2,3,non mandatory,,A-,False,-1,0,0
2758171,VGVhY2hlci0yNzU4MTcx,Kathleen Carper,Engineering,40418099,2024-12-22 22:39:56 +0000 UTC,ISE3034,I don't know why Carper has such good reviews. She is a really hard grader and literally will not help you with anything because she makes her TA's do everything. I think she is the only option for 3034 which sucks,2,4,non mandatory,,B+,False,3,0,0
2758171,VGVhY2hlci0yNzU4MTcx,Kathleen Carper,Engineering,38679516,2023-12-14 23:09:08 +0000 UTC,ISE3034,"Dr. Carper was an amazing professor! Her lectures were very informative. She gave good feedback throughout the semester. Make sure you pull you weight in your group, as your participation is a big part of your grade!",5,3,mandatory,1,A-,False,-1,0,0
2758171,VGVhY2hlci0yNzU4MTcx,Kathleen Carper,Engineering,37068368,2022-12-10 23:28:56 +0000 UTC,ISE3034,"I really enjoyed Dr. Carper's class, she's a great professor.  This class is all about learning to write standard and professional reports and presentations. Your teammates rating of you account for a large percentage of your grade, so make sure to pull your own weight.",5,4,mandatory,1,A-,False,3,0,0
